train_team,Mapped_Team_Name
APOEL,APOEL
Ajax,AJAX
Arsenal,ARSENAL
Atletico Madrid,ATLETICO MADRID
Barcelona,BARCELONA
Basel,FC BASEL 1893
Bayer Leverkusen,BAYER LEVERKUSEN
Bayern Munich,BAYERN MUNICH
Benfica,BENFICA
Besiktas,BESIKTAS
Bordeaux,BORDEAUX
Borussia Dortmund,BORUSSIA DORTMUND
CSKA Moscow,CSKA MOSCOW
Celtic,CELTIC
Chelsea,CHELSEA
Copenhagen,FC COPENHAGEN
Club Brugge,CLUB BRUGGE
Dynamo Kyiv,DYNAMO KYIV
Fenerbahçe,FENERBAHCE
Eintracht Frankfurt,EINTRACHT FRANKFURT
Fiorentina,FIORENTINA
Galatasaray,GALATASARAY
Gent,GENT
Inter Milan,INTER
Internazionale,INTER
Juventus,JUVENTUS
Leicester City,LEICESTER
Lille,LILLE
Liverpool,LIVERPOOL
Lyon,LYON
Malaga,MALAGA
Manchester City,MANCHESTER CITY
Manchester United,MANCHESTER UTD
Marseille,MARSEILLE
Milan,AC MILAN
Monaco,MONACO
Napoli,NAPOLI
Olympiacos,OLYMPIACOS PIRAEUS
PSV Eindhoven,PSV
Panathinaikos,PANATHINAIKOS
Paris Saint-Germain,PARIS SAINT GERMAIN
Porto,FC PORTO
PSV Eindhoven,PSV
Rangers,RANGERS
Real Madrid,REAL MADRID
Real Sociedad,REAL SOCIEDAD
Roma,ROMA
Schalke 04,FC SCHALKE 04
Sevilla,SEVILLA
Shakhtar Donetsk,SHAKHTAR DONETSK
Sporting CP,SPORTING CP
Stuttgart,VFB STUTTGART
Tottenham Hotspur,TOTTENHAM
Valencia,VALENCIA
Villarreal,VILLARREAL
Werder Bremen,WERDER BREMEN
Wolfsburg,VFL WOLFSBURG
Zenit Saint Petersburg,ZENIT SAINT PETERSBURG
